Date,Fiscal Year,Fiscal Quarter,Fiscal Period,Fiscal Year-Quarter,Fiscal Year-Period,Fiscal Year Sort,Fiscal Quarter Sort,Fiscal Period Sort,Fiscal Year-Quarter Sort,Fiscal Year-Period Sort
31-Aug-22,2022,Q3,P8,2022-Q3,2022-P8,2,3,5,2,5
01-Sep-22,2022,Q3,P9,2022-Q3,2022-P9,2,3,4,2,4
02-Sep-22,2022,Q3,P9,2022-Q3,2022-P9,2,3,4,2,4
03-Sep-22,2022,Q3,P9,2022-Q3,2022-P9,2,3,4,2,4
04-Sep-22,2022,Q3,P9,2022-Q3,2022-P9,2,3,4,2,4
05-Sep-22,2022,Q3,P9,2022-Q3,2022-P9,2,3,4,2,4
06-Sep-22,2022,Q3,P9,2022-Q3,2022-P9,2,3,4,2,4
07-Sep-22,2022,Q3,P9,2022-Q3,2022-P9,2,3,4,2,4
08-Sep-22,2022,Q3,P9,2022-Q3,2022-P9,2,3,4,2,4
09-Sep-22,2022,Q3,P9,2022-Q3,2022-P9,2,3,4,2,4
10-Sep-22,2022,Q3,P9,2022-Q3,2022-P9,2,3,4,2,4
11-Sep-22,2022,Q3,P9,2022-Q3,2022-P9,2,3,4,2,4
12-Sep-22,2022,Q3,P9,2022-Q3,2022-P9,2,3,4,2,4
13-Sep-22,2022,Q3,P9,2022-Q3,2022-P9,2,3,4,2,4
14-Sep-22,2022,Q3,P9,2022-Q3,2022-P9,2,3,4,2,4
15-Sep-22,2022,Q3,P9,2022-Q3,2022-P9,2,3,4,2,4
16-Sep-22,2022,Q3,P9,2022-Q3,2022-P9,2,3,4,2,4
17-Sep-22,2022,Q3,P9,2022-Q3,2022-P9,2,3,4,2,4
18-Sep-22,2022,Q3,P9,2022-Q3,2022-P9,2,3,4,2,4
19-Sep-22,2022,Q3,P9,2022-Q3,2022-P9,2,3,4,2,4
20-Sep-22,2022,Q3,P9,2022-Q3,2022-P9,2,3,4,2,4
21-Sep-22,2022,Q3,P9,2022-Q3,2022-P9,2,3,4,2,4
22-Sep-22,2022,Q3,P9,2022-Q3,2022-P9,2,3,4,2,4
23-Sep-22,2022,Q3,P9,2022-Q3,2022-P9,2,3,4,2,4
24-Sep-22,2022,Q3,P9,2022-Q3,2022-P9,2,3,4,2,4
25-Sep-22,2022,Q3,P9,2022-Q3,2022-P9,2,3,4,2,4
26-Sep-22,2022,Q3,P9,2022-Q3,2022-P9,2,3,4,2,4
27-Sep-22,2022,Q3,P9,2022-Q3,2022-P9,2,3,4,2,4
28-Sep-22,2022,Q3,P9,2022-Q3,2022-P9,2,3,4,2,4
29-Sep-22,2022,Q3,P9,2022-Q3,2022-P9,2,3,4,2,4
30-Sep-22,2022,Q3,P9,2022-Q3,2022-P9,2,3,4,2,4
01-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
02-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
03-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
04-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
05-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
06-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
07-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
08-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
09-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
10-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
11-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
12-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
13-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
14-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
15-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
16-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
17-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
18-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
19-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
20-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
21-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
22-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
23-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
24-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
25-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
26-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
27-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
28-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
29-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
30-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
31-Oct-22,2022,Q4,P10,2022-Q4,2022-P10,2,4,3,1,3
01-Nov-22,2022,Q4,P11,2022-Q4,2022-P11,2,4,2,1,2
02-Nov-22,2022,Q4,P11,2022-Q4,2022-P11,2,4,2,1,2
03-Nov-22,2022,Q4,P11,2022-Q4,2022-P11,2,4,2,1,2
04-Nov-22,2022,Q4,P11,2022-Q4,2022-P11,2,4,2,1,2
05-Nov-22,2022,Q4,P11,2022-Q4,2022-P11,2,4,2,1,2
06-Nov-22,2022,Q4,P11,2022-Q4,2022-P11,2,4,2,1,2
07-Nov-22,2022,Q4,P11,2022-Q4,2022-P11,2,4,2,1,2
08-Nov-22,2022,Q4,P11,2022-Q4,2022-P11,2,4,2,1,2
09-Nov-22,2022,Q4,P11,2022-Q4,2022-P11,2,4,2,1,2
10-Nov-22,2022,Q4,P11,2022-Q4,2022-P11,2,4,2,1,2
11-Nov-22,2022,Q4,P11,2022-Q4,2022-P11,2,4,2,1,2
12-Nov-22,2022,Q4,P11,2022-Q4,2022-P11,2,4,2,1,2
13-Nov-22,2022,Q4,P11,2022-Q4,2022-P11,2,4,2,1,2
14-Nov-22,2022,Q4,P11,2022-Q4,2022-P11,2,4,2,1,2
15-Nov-22,2022,Q4,P11,2022-Q4,2022-P11,2,4,2,1,2
16-Nov-22,2022,Q4,P11,2022-Q4,2022-P11,2,4,2,1,2
17-Nov-22,2022,Q4,P11,2022-Q4,2022-P11,2,4,2,1,2
18-Nov-22,2022,Q4,P11,2022-Q4,2022-P11,2,4,2,1,2
19-Nov-22,2022,Q4,P11,2022-Q4,2022-P11,2,4,2,1,2
20-Nov-22,2022,Q4,P11,2022-Q4,2022-P11,2,4,2,1,2
21-Nov-22,2022,Q4,P11,2022-Q4,2022-P11,2,4,2,1,2
22-Nov-22,2022,Q4,P11,2022-Q4,2022-P11,2,4,2,1,2
23-Nov-22,2022,Q4,P11,2022-Q4,2022-P11,2,4,2,1,2
24-Nov-22,2022,Q4,P11,2022-Q4,2022-P11,2,4,2,1,2
25-Nov-22,2022,Q4,P11,2022-Q4,2022-P11,2,4,2,1,2
26-Nov-22,2022,Q4,P11,2022-Q4,2022-P11,2,4,2,1,2
27-Nov-22,2022,Q4,P11,2022-Q4,2022-P11,2,4,2,1,2
28-Nov-22,2022,Q4,P11,2022-Q4,2022-P11,2,4,2,1,2
29-Nov-22,2022,Q4,P11,2022-Q4,2022-P11,2,4,2,1,2
30-Nov-22,2022,Q4,P11,2022-Q4,2022-P11,2,4,2,1,2
01-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
02-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
03-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
04-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
05-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
06-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
07-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
08-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
09-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
10-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
11-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
12-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
13-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
14-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
15-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
16-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
17-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
18-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
19-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
20-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
21-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
22-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
23-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
24-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
25-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
26-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
27-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
28-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
29-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
30-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
31-Dec-22,2022,Q4,P12,2022-Q4,2022-P12,2,4,1,1,1
01-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
02-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
03-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
04-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
05-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
06-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
07-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
08-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
09-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
10-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
11-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
12-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
13-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
14-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
15-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
16-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
17-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
18-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
19-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
20-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
21-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
22-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
23-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
24-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
25-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
26-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
27-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
28-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
29-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
30-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
31-Jan-23,2023,Q1,P1,2023-Q1,2023-P1,1,1,12,4,12
01-Feb-23,2023,Q1,P2,2023-Q1,2023-P2,1,1,11,4,11
02-Feb-23,2023,Q1,P2,2023-Q1,2023-P2,1,1,11,4,11
03-Feb-23,2023,Q1,P2,2023-Q1,2023-P2,1,1,11,4,11
04-Feb-23,2023,Q1,P2,2023-Q1,2023-P2,1,1,11,4,11
05-Feb-23,2023,Q1,P2,2023-Q1,2023-P2,1,1,11,4,11
06-Feb-23,2023,Q1,P2,2023-Q1,2023-P2,1,1,11,4,11
07-Feb-23,2023,Q1,P2,2023-Q1,2023-P2,1,1,11,4,11
08-Feb-23,2023,Q1,P2,2023-Q1,2023-P2,1,1,11,4,11
09-Feb-23,2023,Q1,P2,2023-Q1,2023-P2,1,1,11,4,11
10-Feb-23,2023,Q1,P2,2023-Q1,2023-P2,1,1,11,4,11
11-Feb-23,2023,Q1,P2,2023-Q1,2023-P2,1,1,11,4,11
12-Feb-23,2023,Q1,P2,2023-Q1,2023-P2,1,1,11,4,11
13-Feb-23,2023,Q1,P2,2023-Q1,2023-P2,1,1,11,4,11
14-Feb-23,2023,Q1,P2,2023-Q1,2023-P2,1,1,11,4,11
15-Feb-23,2023,Q1,P2,2023-Q1,2023-P2,1,1,11,4,11
16-Feb-23,2023,Q1,P2,2023-Q1,2023-P2,1,1,11,4,11
17-Feb-23,2023,Q1,P2,2023-Q1,2023-P2,1,1,11,4,11
18-Feb-23,2023,Q1,P2,2023-Q1,2023-P2,1,1,11,4,11
19-Feb-23,2023,Q1,P2,2023-Q1,2023-P2,1,1,11,4,11
20-Feb-23,2023,Q1,P2,2023-Q1,2023-P2,1,1,11,4,11
21-Feb-23,2023,Q1,P2,2023-Q1,2023-P2,1,1,11,4,11
22-Feb-23,2023,Q1,P2,2023-Q1,2023-P2,1,1,11,4,11
23-Feb-23,2023,Q1,P2,2023-Q1,2023-P2,1,1,11,4,11
24-Feb-23,2023,Q1,P2,2023-Q1,2023-P2,1,1,11,4,11
25-Feb-23,2023,Q1,P2,2023-Q1,2023-P2,1,1,11,4,11
26-Feb-23,2023,Q1,P2,2023-Q1,2023-P2,1,1,11,4,11
27-Feb-23,2023,Q1,P2,2023-Q1,2023-P2,1,1,11,4,11
28-Feb-23,2023,Q1,P2,2023-Q1,2023-P2,1,1,11,4,11
01-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
02-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
03-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
04-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
05-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
06-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
07-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
08-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
09-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
10-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
11-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
12-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
13-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
14-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
15-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
16-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
17-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
18-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
19-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
20-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
21-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
22-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
23-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
24-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
25-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
26-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
27-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
28-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
29-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
30-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
31-Mar-23,2023,Q1,P3,2023-Q1,2023-P3,1,1,10,4,10
01-Apr-23,2023,Q2,P4,2023-Q2,2023-P4,1,2,9,3,9
02-Apr-23,2023,Q2,P4,2023-Q2,2023-P4,1,2,9,3,9
03-Apr-23,2023,Q2,P4,2023-Q2,2023-P4,1,2,9,3,9
04-Apr-23,2023,Q2,P4,2023-Q2,2023-P4,1,2,9,3,9
05-Apr-23,2023,Q2,P4,2023-Q2,2023-P4,1,2,9,3,9
06-Apr-23,2023,Q2,P4,2023-Q2,2023-P4,1,2,9,3,9
07-Apr-23,2023,Q2,P4,2023-Q2,2023-P4,1,2,9,3,9
08-Apr-23,2023,Q2,P4,2023-Q2,2023-P4,1,2,9,3,9
09-Apr-23,2023,Q2,P4,2023-Q2,2023-P4,1,2,9,3,9
10-Apr-23,2023,Q2,P4,2023-Q2,2023-P4,1,2,9,3,9
11-Apr-23,2023,Q2,P4,2023-Q2,2023-P4,1,2,9,3,9
12-Apr-23,2023,Q2,P4,2023-Q2,2023-P4,1,2,9,3,9
13-Apr-23,2023,Q2,P4,2023-Q2,2023-P4,1,2,9,3,9
14-Apr-23,2023,Q2,P4,2023-Q2,2023-P4,1,2,9,3,9
15-Apr-23,2023,Q2,P4,2023-Q2,2023-P4,1,2,9,3,9
16-Apr-23,2023,Q2,P4,2023-Q2,2023-P4,1,2,9,3,9
17-Apr-23,2023,Q2,P4,2023-Q2,2023-P4,1,2,9,3,9
18-Apr-23,2023,Q2,P4,2023-Q2,2023-P4,1,2,9,3,9
19-Apr-23,2023,Q2,P4,2023-Q2,2023-P4,1,2,9,3,9
20-Apr-23,2023,Q2,P4,2023-Q2,2023-P4,1,2,9,3,9
21-Apr-23,2023,Q2,P4,2023-Q2,2023-P4,1,2,9,3,9
22-Apr-23,2023,Q2,P4,2023-Q2,2023-P4,1,2,9,3,9
23-Apr-23,2023,Q2,P4,2023-Q2,2023-P4,1,2,9,3,9
24-Apr-23,2023,Q2,P4,2023-Q2,2023-P4,1,2,9,3,9
25-Apr-23,2023,Q2,P4,2023-Q2,2023-P4,1,2,9,3,9
26-Apr-23,2023,Q2,P4,2023-Q2,2023-P4,1,2,9,3,9
27-Apr-23,2023,Q2,P4,2023-Q2,2023-P4,1,2,9,3,9
28-Apr-23,2023,Q2,P4,2023-Q2,2023-P4,1,2,9,3,9
29-Apr-23,2023,Q2,P4,2023-Q2,2023-P4,1,2,9,3,9
