Date,Fiscal Year,Fiscal Quarter,Fiscal Period,Fiscal Year-Quarter,Fiscal Year-Period,Fiscal Year Sort,Fiscal Quarter Sort,Fiscal Period Sort,Fiscal Year-Quarter Sort,Fiscal Year-Period Sort
30-Apr-23,2023,Q2,P4,2023-Q2,2023-P4,1,2,9,3,9
01-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
02-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
03-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
04-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
05-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
06-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
07-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
08-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
09-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
10-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
11-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
12-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
13-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
14-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
15-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
16-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
17-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
18-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
19-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
20-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
21-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
22-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
23-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
24-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
25-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
26-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
27-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
28-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
29-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
30-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
31-May-23,2023,Q2,P5,2023-Q2,2023-P5,1,2,8,3,8
01-Jun-23,2023,Q2,P6,2023-Q2,2023-P6,1,2,7,3,7
02-Jun-23,2023,Q2,P6,2023-Q2,2023-P6,1,2,7,3,7
03-Jun-23,2023,Q2,P6,2023-Q2,2023-P6,1,2,7,3,7
04-Jun-23,2023,Q2,P6,2023-Q2,2023-P6,1,2,7,3,7
05-Jun-23,2023,Q2,P6,2023-Q2,2023-P6,1,2,7,3,7
06-Jun-23,2023,Q2,P6,2023-Q2,2023-P6,1,2,7,3,7
07-Jun-23,2023,Q2,P6,2023-Q2,2023-P6,1,2,7,3,7
08-Jun-23,2023,Q2,P6,2023-Q2,2023-P6,1,2,7,3,7
09-Jun-23,2023,Q2,P6,2023-Q2,2023-P6,1,2,7,3,7
10-Jun-23,2023,Q2,P6,2023-Q2,2023-P6,1,2,7,3,7
11-Jun-23,2023,Q2,P6,2023-Q2,2023-P6,1,2,7,3,7
12-Jun-23,2023,Q2,P6,2023-Q2,2023-P6,1,2,7,3,7
13-Jun-23,2023,Q2,P6,2023-Q2,2023-P6,1,2,7,3,7
14-Jun-23,2023,Q2,P6,2023-Q2,2023-P6,1,2,7,3,7
15-Jun-23,2023,Q2,P6,2023-Q2,2023-P6,1,2,7,3,7
16-Jun-23,2023,Q2,P6,2023-Q2,2023-P6,1,2,7,3,7
17-Jun-23,2023,Q2,P6,2023-Q2,2023-P6,1,2,7,3,7
18-Jun-23,2023,Q2,P6,2023-Q2,2023-P6,1,2,7,3,7
19-Jun-23,2023,Q2,P6,2023-Q2,2023-P6,1,2,7,3,7
20-Jun-23,2023,Q2,P6,2023-Q2,2023-P6,1,2,7,3,7
21-Jun-23,2023,Q2,P6,2023-Q2,2023-P6,1,2,7,3,7
22-Jun-23,2023,Q2,P6,2023-Q2,2023-P6,1,2,7,3,7
23-Jun-23,2023,Q2,P6,2023-Q2,2023-P6,1,2,7,3,7
24-Jun-23,2023,Q2,P6,2023-Q2,2023-P6,1,2,7,3,7
25-Jun-23,2023,Q2,P6,2023-Q2,2023-P6,1,2,7,3,7
26-Jun-23,2023,Q2,P6,2023-Q2,2023-P6,1,2,7,3,7
27-Jun-23,2023,Q2,P6,2023-Q2,2023-P6,1,2,7,3,7
28-Jun-23,2023,Q2,P6,2023-Q2,2023-P6,1,2,7,3,7
29-Jun-23,2023,Q2,P6,2023-Q2,2023-P6,1,2,7,3,7
30-Jun-23,2023,Q2,P6,2023-Q2,2023-P6,1,2,7,3,7
01-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
02-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
03-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
04-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
05-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
06-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
07-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
08-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
09-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
10-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
11-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
12-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
13-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
14-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
15-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
16-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
17-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
18-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
19-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
20-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
21-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
22-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
23-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
24-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
25-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
26-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
27-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
28-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
29-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
30-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
31-Jul-23,2023,Q3,P7,2023-Q3,2023-P7,1,3,6,2,6
01-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
02-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
03-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
04-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
05-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
06-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
07-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
08-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
09-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
10-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
11-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
12-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
13-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
14-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
15-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
16-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
17-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
18-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
19-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
20-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
21-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
22-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
23-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
24-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
25-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
26-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
27-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
28-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
29-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
30-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
31-Aug-23,2023,Q3,P8,2023-Q3,2023-P8,1,3,5,2,5
01-Sep-23,2023,Q3,P9,2023-Q3,2023-P9,1,3,4,2,4
02-Sep-23,2023,Q3,P9,2023-Q3,2023-P9,1,3,4,2,4
03-Sep-23,2023,Q3,P9,2023-Q3,2023-P9,1,3,4,2,4
04-Sep-23,2023,Q3,P9,2023-Q3,2023-P9,1,3,4,2,4
05-Sep-23,2023,Q3,P9,2023-Q3,2023-P9,1,3,4,2,4
06-Sep-23,2023,Q3,P9,2023-Q3,2023-P9,1,3,4,2,4
07-Sep-23,2023,Q3,P9,2023-Q3,2023-P9,1,3,4,2,4
08-Sep-23,2023,Q3,P9,2023-Q3,2023-P9,1,3,4,2,4
09-Sep-23,2023,Q3,P9,2023-Q3,2023-P9,1,3,4,2,4
10-Sep-23,2023,Q3,P9,2023-Q3,2023-P9,1,3,4,2,4
11-Sep-23,2023,Q3,P9,2023-Q3,2023-P9,1,3,4,2,4
12-Sep-23,2023,Q3,P9,2023-Q3,2023-P9,1,3,4,2,4
13-Sep-23,2023,Q3,P9,2023-Q3,2023-P9,1,3,4,2,4
14-Sep-23,2023,Q3,P9,2023-Q3,2023-P9,1,3,4,2,4
15-Sep-23,2023,Q3,P9,2023-Q3,2023-P9,1,3,4,2,4
16-Sep-23,2023,Q3,P9,2023-Q3,2023-P9,1,3,4,2,4
17-Sep-23,2023,Q3,P9,2023-Q3,2023-P9,1,3,4,2,4
18-Sep-23,2023,Q3,P9,2023-Q3,2023-P9,1,3,4,2,4
19-Sep-23,2023,Q3,P9,2023-Q3,2023-P9,1,3,4,2,4
20-Sep-23,2023,Q3,P9,2023-Q3,2023-P9,1,3,4,2,4
21-Sep-23,2023,Q3,P9,2023-Q3,2023-P9,1,3,4,2,4
22-Sep-23,2023,Q3,P9,2023-Q3,2023-P9,1,3,4,2,4
23-Sep-23,2023,Q3,P9,2023-Q3,2023-P9,1,3,4,2,4
24-Sep-23,2023,Q3,P9,2023-Q3,2023-P9,1,3,4,2,4
25-Sep-23,2023,Q3,P9,2023-Q3,2023-P9,1,3,4,2,4
26-Sep-23,2023,Q3,P9,2023-Q3,2023-P9,1,3,4,2,4
27-Sep-23,2023,Q3,P9,2023-Q3,2023-P9,1,3,4,2,4
28-Sep-23,2023,Q3,P9,2023-Q3,2023-P9,1,3,4,2,4
29-Sep-23,2023,Q3,P9,2023-Q3,2023-P9,1,3,4,2,4
30-Sep-23,2023,Q3,P9,2023-Q3,2023-P9,1,3,4,2,4
01-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
02-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
03-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
04-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
05-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
06-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
07-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
08-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
09-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
10-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
11-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
12-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
13-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
14-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
15-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
16-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
17-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
18-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
19-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
20-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
21-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
22-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
23-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
24-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
25-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
26-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
27-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
28-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
29-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
30-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
31-Oct-23,2023,Q4,P10,2023-Q4,2023-P10,1,4,3,1,3
01-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
02-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
03-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
04-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
05-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
06-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
07-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
08-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
09-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
10-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
11-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
12-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
13-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
14-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
15-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
16-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
17-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
18-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
19-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
20-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
21-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
22-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
23-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
24-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
25-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
26-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
27-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
28-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
29-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
30-Nov-23,2023,Q4,P11,2023-Q4,2023-P11,1,4,2,1,2
01-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
02-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
03-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
04-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
05-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
06-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
07-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
08-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
09-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
10-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
11-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
12-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
13-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
14-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
15-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
16-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
17-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
18-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
19-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
20-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
21-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
22-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
23-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
24-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
25-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
26-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
27-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
28-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
29-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
30-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
31-Dec-23,2023,Q4,P12,2023-Q4,2023-P12,1,4,1,1,1
